ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
1950,High,F,M,2,30665.2,Y,23,5830.58,63,1457.645,145.7645,9.45,2,16,0.0,291.529
1951,High,F,M,1,83287.0,Y,46,6080.61,30,1520.1525,152.01525,4.5,1,15,0.0,304.0305
1952,Low,M,M,1,98680.4,Y,59,17581.76,8,8790.88,879.088,2.0,2,5,879.088,0.0
1953,Low,F,M,2,65619.7,Y,46,13561.36,144,6780.68,678.068,36.0,3,7,678.068,0.0
1954,Low,M,M,1,95620.3,Y,49,10911.09,93,5455.545,545.5545,23.25,2,10,545.5545,0.0
1955,High,F,S,0,85275.0,N,70,22482.25,151,11241.125,1124.1125,37.75,2,8,0.0,1124.1125
1956,Low,F,M,1,66921.4,Y,70,15701.57,8,7850.785,785.0785,2.0,3,7,785.0785,0.0
1957,High,F,M,1,98453.6,Y,61,13721.37,11,6860.685,686.0685,2.75,5,8,0.0,686.0685
1958,High,F,S,2,57420.0,Y,52,25182.52,252,12591.26,1259.126,63.0,5,9,0.0,1259.126
1959,High,M,M,0,70000.0,N,42,3930.39,26,982.5975,98.25975,3.9,1,16,0.0,196.5195
1960,Medium,F,M,2,47639.1,N,61,17481.75,39,8740.875,874.0875,9.75,2,10,0.0,874.0875
1961,Low,F,S,0,39461.0,N,22,22872.29,103,11436.145,1143.6145,25.75,4,5,1143.6145,0.0
1962,High,M,M,1,47371.0,Y,55,4980.5,258,1245.125,124.5125,38.7,1,20,0.0,249.025
1963,High,M,S,1,16432.1,Y,21,20412.04,80,10206.02,1020.602,20.0,1,10,0.0,1020.602
1964,Medium,F,M,2,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,4,13,0.0,119.762
1965,High,F,M,2,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,4,19,0.0,164.0165
1966,Low,F,S,1,540.4,Y,39,12341.23,7,6170.615,617.0615,1.75,2,5,617.0615,0.0
1967,Low,M,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,2,10,618.562,0.0
1968,High,F,M,2,80087.7,N,42,8740.87,22,2185.2175,218.52175,3.3,3,19,0.0,437.0435
1969,Low,F,M,2,59691.3,N,38,21942.19,256,10971.095,1097.1095,64.0,1,9,1097.1095,0.0
1970,High,F,S,2,11251.1,Y,43,28422.84,113,14211.42,1421.142,28.25,4,8,0.0,1421.142
1971,High,M,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,5,8,0.0,1235.1235
1972,High,M,M,1,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,1,17,0.0,239.524
1973,Medium,M,M,1,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,5,14,0.0,82.00825
1974,High,F,S,2,93559.1,N,58,1520.15,29,380.0375,38.00375,4.35,1,20,0.0,76.0075
1975,Low,F,S,2,3416.62,Y,23,18971.9,104,9485.95,948.595,26.0,4,9,948.595,0.0
1976,Low,F,D,1,93454.3,Y,49,18941.89,25,9470.945,947.0945,6.25,5,8,947.0945,0.0
1977,Low,M,M,0,5745.0,Y,15,26402.64,17,13201.32,1320.132,4.25,4,7,1320.132,0.0
1978,Low,M,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,1,8,618.562,0.0
1979,Low,M,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,2,10,1235.1235,0.0
1980,High,M,M,1,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,4,19,0.0,239.524
1981,Medium,M,M,0,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,4,11,0.0,82.00825
1982,High,M,S,2,60095.2,Y,23,1710.17,116,427.5425,42.75425,17.4,4,16,0.0,85.5085
1983,Medium,F,M,2,11234.7,Y,49,690.07,112,172.5175,17.25175,16.8,1,16,0.0,34.5035
1984,High,F,M,1,82931.3,N,65,19241.92,118,9620.96,962.096,29.5,3,6,0.0,962.096
1985,Low,F,M,2,57483.9,N,44,17011.7,27,8505.85,850.585,6.75,4,9,850.585,0.0
1986,Low,M,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,3,7,618.562,0.0
1987,Low,F,S,2,21274.0,N,46,10871.09,32,5435.545,543.5545,8.0,2,6,543.5545,0.0
1988,High,F,M,2,28267.0,N,30,21872.19,192,10936.095,1093.6095,48.0,3,8,0.0,1093.6095
1989,Low,M,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,3,5,1235.1235,0.0
1990,High,F,M,2,36725.1,N,56,8650.87,77,2162.7175,216.27175,11.55,4,19,0.0,432.5435
1991,High,M,M,0,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,2,20,0.0,239.524
1992,Medium,M,M,0,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,5,14,0.0,82.00825
1993,Medium,M,M,0,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,4,11,0.0,119.762
1994,High,M,S,1,94188.3,N,58,20862.09,19,10431.045,1043.1045,4.75,4,10,0.0,1043.1045
1995,High,M,D,1,84166.1,N,33,3280.33,11,820.0825,82.00825,1.65,5,17,0.0,164.0165
1996,Low,M,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,2,6,618.562,0.0
1997,Low,F,M,2,91861.0,Y,42,15321.53,6,7660.765,766.0765,1.5,3,10,766.0765,0.0
1998,High,M,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,3,10,0.0,1235.1235
1999,High,M,M,1,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,2,17,0.0,239.524
2000,High,F,S,1,12374.9,Y,33,17491.75,106,8745.875,874.5875,26.5,2,10,0.0,874.5875
2001,Medium,F,M,2,69133.9,Y,27,8580.86,37,2145.215,214.5215,5.55,3,10,0.0,214.5215
2002,High,M,M,0,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,1,18,0.0,164.0165
2003,High,F,M,2,84948.0,Y,29,11141.11,12,5570.555,557.0555,3.0,4,10,0.0,557.0555
2004,High,F,M,2,30998.8,N,41,2400.24,50,600.06,60.006,7.5,4,16,0.0,120.012
2005,Low,M,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,2,5,618.562,0.0
2006,Low,M,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,3,5,1235.1235,0.0
2007,High,M,M,0,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,5,20,0.0,239.524
2008,Medium,M,M,0,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,5,12,0.0,82.00825
2009,Low,M,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,1,10,618.562,0.0
2010,High,M,M,2,21416.5,N,36,9900.99,8,2475.2475,247.52475,1.2,2,18,0.0,495.0495
2011,Low,M,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,4,5,1235.1235,0.0
2012,High,M,M,1,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,1,16,0.0,239.524
2013,High,M,M,1,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,2,19,0.0,164.0165
2014,High,M,S,1,78554.2,N,17,5590.56,23,1397.64,139.764,3.45,2,19,0.0,279.528
2015,High,F,M,2,38215.9,N,31,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
2016,Medium,F,M,2,49745.3,N,48,2840.28,24,710.07,71.007,3.6,4,11,0.0,71.007
2017,Medium,M,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,2,10,0.0,618.562
2018,Low,F,M,2,88427.0,N,14,22462.25,43,11231.125,1123.1125,10.75,5,8,1123.1125,0.0
2019,Medium,F,M,2,98003.7,Y,26,1030.1,83,257.525,25.7525,12.45,4,14,0.0,25.7525
2020,Medium,M,S,0,89142.7,N,54,3760.38,5,940.095,94.0095,0.75,4,14,0.0,94.0095
2021,High,F,S,0,74530.8,N,63,20892.09,106,10446.045,1044.6045,26.5,5,8,0.0,1044.6045
2022,High,F,M,2,76289.2,N,48,22202.22,82,11101.11,1110.111,20.5,4,7,0.0,1110.111
2023,High,M,M,1,66931.9,N,64,11721.17,5,5860.585,586.0585,1.25,2,9,0.0,586.0585
2024,Medium,F,M,2,9309.57,Y,25,8560.86,99,2140.215,214.0215,14.85,5,15,0.0,214.0215
2025,High,F,S,0,77726.4,N,57,14001.4,9,7000.7,700.07,2.25,1,5,0.0,700.07
2026,High,F,S,1,2800.68,N,46,28452.85,106,14226.425,1422.6425,26.5,2,8,0.0,1422.6425
2027,Low,F,M,2,90271.6,N,45,13961.4,96,6980.7,698.07,24.0,2,7,698.07,0.0
2028,Low,F,M,2,64816.6,Y,31,21002.1,6,10501.05,1050.105,1.5,5,6,1050.105,0.0
2029,High,F,M,2,98217.1,N,45,29492.95,13,14746.475,1474.6475,3.25,1,8,0.0,1474.6475
2030,High,F,S,0,15989.3,N,62,3670.37,25,917.5925,91.75925,3.75,2,16,0.0,183.5185
2031,High,M,S,1,84978.1,N,22,5030.5,76,1257.625,125.7625,11.4,3,19,0.0,251.525
2032,Low,F,M,2,36647.9,N,50,21412.14,85,10706.07,1070.607,21.25,1,7,1070.607,0.0
2033,Medium,F,S,0,64319.2,N,41,3010.3,37,752.575,75.2575,5.55,5,13,0.0,75.2575
2034,Medium,F,S,1,73338.0,N,48,20922.09,9,10461.045,1046.1045,2.25,3,10,1046.1045,0.0
2035,Medium,F,S,0,433.74,N,61,3300.33,40,825.0825,82.50825,6.0,3,11,0.0,82.50825
2036,High,F,M,2,16962.2,N,45,18601.86,8,9300.93,930.093,2.0,5,8,0.0,930.093
2037,Low,M,M,2,10708.3,N,26,20832.08,117,10416.04,1041.604,29.25,2,9,1041.604,0.0
2038,Low,F,M,0,2031.61,N,20,21642.16,87,10821.08,1082.108,21.75,3,5,1082.108,0.0
2039,High,F,S,2,16938.5,N,42,13351.34,8,6675.67,667.567,2.0,1,9,0.0,667.567
2040,Medium,F,M,0,55221.0,N,46,490.05,15,122.5125,12.25125,2.25,1,15,0.0,12.25125
2041,High,F,M,1,8073.11,N,47,28702.87,60,14351.435,1435.1435,15.0,2,9,0.0,1435.1435
2042,Low,M,M,1,95448.6,Y,54,24242.42,5,12121.21,1212.121,1.25,3,8,1212.121,0.0
2043,Medium,M,S,1,24141.5,Y,17,28822.88,97,14411.44,1441.144,24.25,5,10,0.0,1441.144
2044,Low,M,S,2,63152.6,Y,63,29932.99,40,14966.495,1496.6495,10.0,3,8,1496.6495,0.0
2045,Low,M,S,2,72084.7,N,56,29112.91,9,14556.455,1455.6455,2.25,3,7,1455.6455,0.0
2046,High,F,S,0,42760.5,N,48,13471.35,40,6735.675,673.5675,10.0,5,10,0.0,673.5675
2047,High,F,S,1,49072.0,N,53,23502.35,10,11751.175,1175.1175,2.5,1,9,0.0,1175.1175
2048,Low,F,M,0,27371.8,Y,62,16141.61,126,8070.805,807.0805,31.5,5,8,807.0805,0.0
2049,High,M,M,0,71472.9,N,42,16021.6,114,8010.8,801.08,28.5,1,8,0.0,801.08
2050,Medium,M,M,0,95405.7,N,47,7740.77,6,1935.1925,193.51925,0.9,3,10,0.0,193.51925
2051,Low,M,S,0,95786.8,Y,58,21332.13,87,10666.065,1066.6065,21.75,3,5,1066.6065,0.0
2052,Medium,M,S,0,90321.6,N,28,870.09,11,217.5225,21.75225,1.65,2,14,0.0,21.75225
2053,Low,M,D,0,90478.6,N,55,18021.8,136,9010.9,901.09,34.0,4,9,901.09,0.0
2054,High,F,M,2,56187.0,N,43,8090.81,13,2022.7025,202.27025,1.95,1,17,0.0,404.5405
2055,High,M,M,1,28313.1,N,21,6890.69,6,1722.6725,172.26725,0.9,5,20,0.0,344.5345
2056,High,M,M,2,29616.0,N,49,29782.98,45,14891.49,1489.149,11.25,2,7,0.0,1489.149
2057,Low,M,M,0,19732.8,N,51,24812.48,22,12406.24,1240.624,5.5,1,5,1240.624,0.0
2058,Medium,M,S,1,41690.5,Y,15,2500.25,28,625.0625,62.50625,4.2,1,11,0.0,62.50625
2059,Low,M,S,2,96.33,N,56,26132.61,32,13066.305,1306.6305,8.0,4,9,1306.6305,0.0
2060,Medium,F,M,2,52004.8,N,25,5030.5,23,1257.625,125.7625,3.45,2,14,0.0,125.7625
2061,Medium,F,S,0,78851.3,N,48,370.04,28,92.51,9.251,4.2,2,15,0.0,9.251
2062,Low,F,S,1,17540.7,Y,63,22172.22,13,11086.11,1108.611,3.25,5,7,1108.611,0.0
2063,High,F,M,0,83891.9,Y,61,28922.89,45,14461.445,1446.1445,11.25,2,5,0.0,1446.1445
2064,High,F,M,2,28220.8,N,39,26492.65,12,13246.325,1324.6325,3.0,4,8,0.0,1324.6325
2065,Low,F,S,0,28589.1,N,16,13191.32,87,6595.66,659.566,21.75,4,8,659.566,0.0
0,Low,F,S,1,38000.0,N,24,59755.98,206,29877.99,2987.799,51.5,3,10,2987.799,0.0
1,Low,M,M,2,29616.0,N,49,29782.98,45,14891.49,1489.149,11.25,3,9,1489.149,0.0
2,Low,M,M,0,19732.8,N,51,24812.48,22,12406.24,1240.624,5.5,1,9,1240.624,0.0
3,High,M,S,2,96.33,N,56,26132.61,32,13066.305,1306.6305,8.0,3,5,0.0,1306.6305
4,High,F,M,2,52004.8,N,25,5030.5,23,1257.625,125.7625,3.45,2,19,0.0,251.525
5,High,M,M,2,53010.8,N,19,12451.25,46,6225.625,622.5625,11.5,2,8,0.0,622.5625
6,Medium,M,M,1,75004.5,N,65,26522.65,32,13261.325,1326.1325,8.0,4,10,0.0,1326.1325
7,High,M,M,0,19749.3,N,60,20222.02,13,10111.01,1011.101,3.25,3,10,0.0,1011.101
8,Medium,M,S,1,57626.9,Y,44,9380.94,38,2345.235,234.5235,5.7,2,15,0.0,234.5235
9,Medium,M,M,2,20078.0,N,33,9650.97,6,2412.7425,241.27425,0.9,3,11,0.0,241.27425
10,Low,F,M,2,47902.0,N,26,17441.74,49,8720.87,872.087,12.25,2,8,872.087,0.0
11,High,M,M,1,7545.96,Y,17,22392.24,178,11196.12,1119.612,44.5,1,5,0.0,1119.612
12,Medium,F,S,0,78851.3,N,48,370.04,28,92.51,9.251,4.2,5,13,0.0,9.251
13,High,F,S,1,17540.7,Y,63,22172.22,13,11086.11,1108.611,3.25,4,9,0.0,1108.611
14,High,F,M,0,83891.9,Y,61,28922.89,45,14461.445,1446.1445,11.25,5,6,0.0,1446.1445
15,Low,F,M,2,28220.8,N,39,26492.65,12,13246.325,1324.6325,3.0,1,9,1324.6325,0.0
16,Low,F,S,0,28589.1,N,16,13191.32,87,6595.66,659.566,21.75,1,7,659.566,0.0
17,High,F,M,2,5237.63,N,49,13321.33,56,6660.665,666.0665,14.0,3,7,0.0,666.0665
18,Low,M,S,2,89459.9,N,53,11541.15,22,5770.575,577.0575,5.5,2,9,577.0575,0.0
19,High,F,S,1,13576.5,N,39,14831.48,25,7415.74,741.574,6.25,5,7,0.0,741.574
20,Medium,F,M,2,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,3,13,0.0,119.762
21,Medium,F,M,1,57063.0,Y,52,16791.68,81,8395.84,839.584,20.25,1,6,0.0,839.584
22,High,F,M,2,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,4,15,0.0,164.0165
23,Low,F,S,1,7737.94,N,43,11051.11,50,5525.555,552.5555,12.5,1,7,552.5555,0.0
24,Low,M,S,2,100020.0,N,50,21372.14,293,10686.07,1068.607,73.25,3,9,1068.607,0.0
25,High,F,M,2,45287.6,Y,29,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
26,Low,F,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,2,5,618.562,0.0
27,High,F,S,1,16326.7,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
28,Low,F,S,2,9559.78,N,51,18311.83,59,9155.915,915.5915,14.75,4,8,915.5915,0.0
29,High,F,M,2,42031.8,N,51,20452.05,39,10226.025,1022.6025,9.75,3,8,0.0,1022.6025
30,Low,F,M,2,83284.1,Y,28,26912.69,9,13456.345,1345.6345,2.25,3,6,1345.6345,0.0
31,High,M,M,1,39229.1,N,26,28822.88,13,14411.44,1441.144,3.25,3,6,0.0,1441.144
32,High,F,S,0,68427.4,N,42,23762.38,50,11881.19,1188.119,12.5,1,8,0.0,1188.119
33,High,M,S,0,3601.71,N,49,9570.96,111,2392.74,239.274,16.65,1,19,0.0,478.548
34,Low,F,M,0,72642.6,N,28,18661.87,20,9330.935,933.0935,5.0,1,10,933.0935,0.0
35,High,F,S,0,98716.3,N,56,20972.1,13,10486.05,1048.605,3.25,2,7,0.0,1048.605
36,Low,F,S,2,66182.7,Y,62,11701.17,47,5850.585,585.0585,11.75,3,5,585.0585,0.0
37,High,F,M,2,84789.3,N,50,14221.42,10,7110.71,711.071,2.5,4,10,0.0,711.071
38,High,F,M,2,35976.5,Y,49,18851.89,31,9425.945,942.5945,7.75,1,9,0.0,942.5945
39,Low,F,M,0,32703.1,Y,65,16801.68,56,8400.84,840.084,14.0,4,8,840.084,0.0
40,Low,F,M,1,77129.1,Y,62,24772.48,20,12386.24,1238.624,5.0,4,5,1238.624,0.0
41,Low,F,M,2,8204.72,N,53,15591.56,24,7795.78,779.578,6.0,1,10,779.578,0.0
42,High,M,M,1,97180.4,N,51,8210.82,45,2052.705,205.2705,6.75,5,15,0.0,410.541
43,Medium,F,M,0,80405.1,N,60,2910.29,17,727.5725,72.75725,2.55,1,13,0.0,72.75725
44,Low,F,S,2,38280.0,N,34,11641.16,74,5820.58,582.058,18.5,2,5,582.058,0.0
45,High,M,S,0,64136.6,Y,61,16211.62,125,8105.81,810.581,31.25,4,8,0.0,810.581
46,High,F,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,3,9,0.0,1235.1235
47,High,F,S,0,25285.5,N,54,9370.94,11,2342.735,234.2735,1.65,4,18,0.0,468.547
48,High,F,M,2,77551.1,Y,34,20532.05,41,10266.025,1026.6025,10.25,5,5,0.0,1026.6025
49,Medium,F,M,0,38538.4,N,12,22862.29,16,11431.145,1143.1145,4.0,1,10,0.0,1143.1145
50,High,F,S,0,69350.5,Y,57,1900.19,25,475.0475,47.50475,3.75,3,19,0.0,95.0095
51,Low,M,S,2,43634.5,N,22,29442.94,104,14721.47,1472.147,26.0,5,10,1472.147,0.0
52,High,F,S,1,13109.1,N,63,22382.24,40,11191.12,1119.112,10.0,2,7,0.0,1119.112
53,Low,M,S,1,92647.5,N,56,16041.6,10,8020.8,802.08,2.5,5,5,802.08,0.0
54,High,F,S,2,21021.6,Y,63,1000.1,11,250.025,25.0025,1.65,1,20,0.0,50.005
55,Low,M,S,0,74460.7,Y,55,25532.55,179,12766.275,1276.6275,44.75,3,5,1276.6275,0.0
56,Low,F,S,2,28787.4,N,42,27972.8,58,13986.4,1398.64,14.5,1,10,1398.64,0.0
57,Low,M,M,1,13091.6,N,59,22792.28,20,11396.14,1139.614,5.0,1,8,1139.614,0.0
58,Low,F,M,2,62061.8,Y,46,29862.99,52,14931.495,1493.1495,13.0,1,8,1493.1495,0.0
59,High,F,M,1,20550.9,Y,22,27722.77,57,13861.385,1386.1385,14.25,5,7,0.0,1386.1385
60,High,M,M,2,1765.41,N,19,3040.3,44,760.075,76.0075,6.6,5,15,0.0,152.015
61,High,F,S,2,19131.1,N,56,22152.22,34,11076.11,1107.611,8.5,2,5,0.0,1107.611
62,High,F,S,2,83073.7,N,40,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
63,Medium,M,M,2,42750.3,Y,50,20592.06,112,10296.03,1029.603,28.0,1,8,1029.603,0.0
64,High,F,S,2,2842.55,N,46,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
65,High,M,M,2,22358.1,N,53,15541.55,12,7770.775,777.0775,3.0,2,9,0.0,777.0775
66,Medium,M,M,0,47870.8,Y,27,2000.2,12,500.05,50.005,1.8,1,11,0.0,50.005
67,Low,F,S,2,6440.46,Y,53,22662.27,27,11331.135,1133.1135,6.75,3,8,1133.1135,0.0
68,High,F,S,0,7325.5,N,37,28522.85,161,14261.425,1426.1425,40.25,3,8,0.0,1426.1425
69,High,M,M,2,28766.9,N,47,6110.61,58,1527.6525,152.76525,8.7,5,16,0.0,305.5305
70,Low,M,M,2,91272.2,Y,25,26992.7,13,13496.35,1349.635,3.25,4,8,1349.635,0.0
71,High,M,S,0,65000.0,Y,46,11631.16,115,5815.58,581.558,28.75,5,8,0.0,581.558
72,Low,M,M,2,1406.05,Y,19,11551.16,15,5775.58,577.558,3.75,5,9,577.558,0.0
73,Low,F,S,0,73228.3,N,62,22472.25,28,11236.125,1123.6125,7.0,4,5,1123.6125,0.0
74,Medium,F,S,2,76231.9,N,64,2010.2,150,502.55,50.255,22.5,3,13,0.0,50.255
75,High,M,M,1,64792.3,N,52,13051.31,36,6525.655,652.5655,9.0,1,9,0.0,652.5655
76,Low,F,S,0,93322.1,Y,40,29922.99,8,14961.495,1496.1495,2.0,1,7,1496.1495,0.0
77,Medium,M,M,1,63437.3,N,64,680.07,10,170.0175,17.00175,1.5,2,10,0.0,17.00175
78,High,M,M,2,49910.7,Y,52,27422.74,23,13711.37,1371.137,5.75,5,10,0.0,1371.137
79,Low,M,M,0,76161.4,Y,45,11961.2,25,5980.6,598.06,6.25,2,10,598.06,0.0
80,Low,F,M,2,55860.0,Y,15,16011.6,10,8005.8,800.58,2.5,2,9,800.58,0.0
81,High,F,S,1,12686.0,N,65,23232.32,80,11616.16,1161.616,20.0,3,10,0.0,1161.616
82,Low,M,M,2,57360.8,Y,53,10361.04,57,5180.52,518.052,14.25,2,5,518.052,0.0
83,Medium,M,M,0,92414.7,Y,46,29432.94,10,14716.47,1471.647,2.5,2,10,0.0,1471.647
84,High,M,M,1,60102.7,N,42,9840.98,62,2460.245,246.0245,9.3,1,20,0.0,492.049
85,Low,F,M,2,17888.7,N,55,29412.94,332,14706.47,1470.647,83.0,2,6,1470.647,0.0
86,High,F,S,1,12526.3,N,54,11721.17,28,5860.585,586.0585,7.0,2,10,0.0,586.0585
87,Low,F,S,2,14578.8,Y,61,11911.19,95,5955.595,595.5595,23.75,1,10,595.5595,0.0
88,High,M,M,0,78572.2,Y,42,21812.18,29,10906.09,1090.609,7.25,5,8,0.0,1090.609
89,High,F,M,2,48238.8,N,35,23282.33,168,11641.165,1164.1165,42.0,4,6,0.0,1164.1165
90,High,F,M,0,28770.9,N,12,27992.8,16,13996.4,1399.64,4.0,2,5,0.0,1399.64
91,Medium,F,M,2,87578.2,Y,53,290.03,22,72.5075,7.25075,3.3,5,12,0.0,7.25075
92,Low,F,M,2,86695.4,N,14,25942.59,32,12971.295,1297.1295,8.0,4,10,1297.1295,0.0
93,High,F,S,2,76791.2,N,61,20712.07,23,10356.035,1035.6035,5.75,5,5,0.0,1035.6035
94,High,F,D,0,30763.8,Y,14,21322.13,35,10661.065,1066.1065,8.75,1,8,0.0,1066.1065
95,High,F,M,2,3193.6,N,54,4190.42,114,1047.605,104.7605,17.1,4,16,0.0,209.521
96,Medium,M,M,1,69680.9,N,16,7670.77,32,1917.6925,191.76925,4.8,1,10,0.0,191.76925
97,High,F,M,0,83287.0,N,45,29642.96,90,14821.48,1482.148,22.5,3,7,0.0,1482.148
98,Low,M,S,0,2056.06,Y,19,24072.41,27,12036.205,1203.6205,6.75,3,9,1203.6205,0.0
99,High,F,M,2,7776.6,N,36,25872.59,68,12936.295,1293.6295,17.0,5,7,0.0,1293.6295
100,Low,M,M,1,2067.82,N,48,15251.53,70,7625.765,762.5765,17.5,3,6,762.5765,0.0
101,High,M,S,0,66666.0,N,52,4580.46,8,1145.115,114.5115,1.2,2,18,0.0,229.023
102,Medium,F,M,2,69343.3,N,42,6360.64,15,1590.16,159.016,2.25,1,12,0.0,159.016
103,High,F,M,0,77000.0,N,55,570.06,23,142.515,14.2515,3.45,4,17,0.0,28.503
104,Medium,F,M,0,14932.5,N,52,4910.49,6,1227.6225,122.76225,0.9,3,14,0.0,122.76225
105,Medium,F,S,0,27498.1,N,42,2200.22,9,550.055,55.0055,1.35,3,11,0.0,55.0055
106,High,F,M,2,21419.9,N,60,26392.64,103,13196.32,1319.632,25.75,3,6,0.0,1319.632
107,High,F,M,2,30665.2,Y,23,5830.58,63,1457.645,145.7645,9.45,2,19,0.0,291.529
108,High,F,M,1,66000.0,Y,63,6080.61,30,1520.1525,152.01525,4.5,2,18,0.0,304.0305
109,Low,F,M,2,50561.3,N,52,16601.66,113,8300.83,830.083,28.25,1,9,830.083,0.0
110,Low,F,S,2,23464.0,Y,70,22432.24,41,11216.12,1121.612,10.25,3,8,1121.612,0.0
111,Medium,F,M,2,194.57,N,42,28262.83,38,14131.415,1413.1415,9.5,3,10,0.0,1413.1415
112,Low,F,M,1,98680.4,Y,55,17581.76,8,8790.88,879.088,2.0,2,9,879.088,0.0
113,Low,M,M,1,65619.7,Y,46,13561.36,144,6780.68,678.068,36.0,5,10,678.068,0.0
114,Low,F,M,1,95620.3,Y,52,10911.09,93,5455.545,545.5545,23.25,1,6,545.5545,0.0
115,High,F,S,0,85275.0,N,47,22482.25,151,11241.125,1124.1125,37.75,2,6,0.0,1124.1125
116,Low,F,M,1,66921.4,Y,43,15701.57,8,7850.785,785.0785,2.0,3,8,785.0785,0.0
117,High,F,M,1,98453.6,Y,46,13721.37,11,6860.685,686.0685,2.75,3,9,0.0,686.0685
118,High,F,M,2,94026.8,Y,28,25002.5,10,12501.25,1250.125,2.5,1,10,0.0,1250.125
119,High,F,S,2,57420.0,Y,61,25182.52,252,12591.26,1259.126,63.0,1,7,0.0,1259.126
120,Medium,M,M,0,77000.0,N,44,3930.39,26,982.5975,98.25975,3.9,1,13,0.0,98.25975
121,Low,M,M,2,47639.1,N,48,17481.75,39,8740.875,874.0875,9.75,3,10,874.0875,0.0
122,High,F,M,2,63234.5,Y,52,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
123,Medium,F,M,2,18296.4,Y,43,80.01,10,20.0025,2.00025,1.5,4,15,0.0,2.00025
124,Low,F,S,0,39461.0,N,22,22872.29,103,11436.145,1143.6145,25.75,2,9,1143.6145,0.0
125,High,F,S,1,68000.0,N,60,22822.28,63,11411.14,1141.114,15.75,3,10,0.0,1141.114
126,High,F,M,2,52957.0,Y,40,25792.58,125,12896.29,1289.629,31.25,1,9,0.0,1289.629
127,High,F,S,2,86747.1,N,65,20152.02,37,10076.01,1007.601,9.25,2,8,0.0,1007.601
128,Low,F,M,1,87404.6,N,63,21632.16,139,10816.08,1081.608,34.75,4,6,1081.608,0.0
129,Medium,M,S,2,20919.0,N,28,6260.63,153,1565.1575,156.51575,22.95,4,11,0.0,156.51575
130,High,F,M,2,85394.0,Y,20,19281.93,14,9640.965,964.0965,3.5,3,9,0.0,964.0965
131,Medium,F,S,0,2121.36,N,40,2020.2,36,505.05,50.505,5.4,1,10,0.0,50.505
132,High,F,M,2,63566.1,Y,56,7940.79,65,1985.1975,198.51975,9.75,2,19,0.0,397.0395
133,Low,F,S,0,89813.6,N,13,14941.49,149,7470.745,747.0745,37.25,5,8,747.0745,0.0
134,High,F,M,2,82644.2,Y,33,21972.2,19,10986.1,1098.61,4.75,1,8,0.0,1098.61
135,High,F,S,1,27783.6,N,14,4970.5,18,1242.625,124.2625,2.7,4,20,0.0,248.525
136,Medium,F,M,2,60485.5,N,42,11701.17,28,5850.585,585.0585,7.0,3,8,0.0,585.0585
137,High,F,M,2,809.43,Y,32,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
